timestamp,symbol,qty,avg_entry,current,market_value,unreal_pl,unreal_plpc
2025-09-29T19:55:37Z,CENX,958.95550441,26.07,29.39,28183.70,3183.73,0.127349
2025-09-29T19:55:37Z,EAT,180.94955124,138.16,132.13,23908.86,-1091.13,-0.043645
2025-09-29T20:11:07Z,ANIP,262.98779590,95.05,91.93,24176.47,-820.52,-0.032825
2025-09-29T20:11:07Z,APH,203.02111589,123.13,121.01,24567.59,-430.40,-0.017218
2025-09-29T20:11:07Z,CENX,958.95550441,26.07,29.40,28188.50,3188.53,0.127541
2025-09-29T20:11:07Z,EAT,180.94955124,138.16,132.97,24060.86,-939.13,-0.037565
2025-09-29T20:26:49Z,ANIP,262.98779590,95.05,91.93,24176.47,-820.52,-0.032825
2025-09-29T20:26:49Z,APH,203.02111589,123.13,121.20,24606.81,-391.18,-0.015649
2025-09-29T20:26:49Z,CENX,958.95550441,26.07,29.99,28759.08,3759.11,0.150364
2025-09-29T20:26:49Z,EAT,180.94955124,138.16,132.97,24060.86,-939.13,-0.037565
2025-09-29T20:35:38Z,ANIP,262.98779590,95.05,91.93,24176.47,-820.52,-0.032825
2025-09-29T20:35:38Z,APH,203.02111589,123.13,121.20,24606.81,-391.18,-0.015649
2025-09-29T20:35:38Z,CENX,958.95550441,26.07,29.99,28759.08,3759.11,0.150364
2025-09-29T20:35:38Z,EAT,180.94955124,138.16,132.97,24060.86,-939.13,-0.037565
2025-09-29T20:43:07Z,ANIP,262.98779590,95.05,91.93,24176.47,-820.52,-0.032825
2025-09-29T20:43:07Z,APH,203.02111589,123.13,121.20,24606.81,-391.18,-0.015649
2025-09-29T20:43:07Z,CENX,958.95550441,26.07,29.99,28759.08,3759.11,0.150364
2025-09-29T20:43:07Z,EAT,180.94955124,138.16,132.97,24060.86,-939.13,-0.037565
2025-09-29T20:49:12Z,ANIP,262.98779590,95.05,91.93,24176.47,-820.52,-0.032825
2025-09-29T20:49:12Z,APH,203.02111589,123.13,121.20,24606.81,-391.18,-0.015649
2025-09-29T20:49:12Z,CENX,958.95550441,26.07,29.99,28759.08,3759.11,0.150364
2025-09-29T20:49:12Z,EAT,180.94955124,138.16,132.97,24060.86,-939.13,-0.037565
2025-09-29T20:54:44Z,ANIP,262.98779590,95.05,91.93,24176.47,-820.52,-0.032825
2025-09-29T20:54:44Z,APH,203.02111589,123.13,121.20,24606.81,-391.18,-0.015649
2025-09-29T20:54:44Z,CENX,958.95550441,26.07,29.87,28647.07,3647.10,0.145884
